일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
2013-01-01,2.6,8,14:35,-2.8,5:45,10.8
2013-01-02,0.3,3.6,15:04,-5.9,23:52,9.5
2013-01-03,-5.1,-1,14:53,-7.7,7:16,6.7
2013-01-04,-2.6,2.8,15:24,-8.1,4:05,10.9
2013-01-05,-0.7,3.4,15:23,-3.8,8:27,7.2
2013-01-06,0.9,6.6,13:38,-2.8,4:25,9.4
2013-01-07,2.4,7.1,11:26,-2,6:36,9.1
2013-01-08,2,7,13:51,-1.9,6:26,8.9
2013-01-09,-0.7,2.5,14:04,-4,23:35,6.5
2013-01-10,-1.8,4.5,15:11,-5.8,6:03,10.3
2013-01-11,0.8,7.7,14:36,-5.3,7:27,13
2013-01-12,5.6,11.3,14:18,1.6,0:46,9.7
2013-01-13,5.4,8.1,12:06,1.4,6:55,6.7
2013-01-14,5.5,11,14:37,2.1,23:57,8.9
2013-01-15,5.1,10.1,14:29,0.7,4:08,9.4
2013-01-16,5.1,10.3,13:55,0.9,7:49,9.4
2013-01-17,0.5,5.1,14:50,-2,23:59,7.1
2013-01-18,0.7,6.8,15:06,-4.3,7:14,11.1
2013-01-19,2.6,8.4,14:44,-2.7,5:57,11.1
2013-01-20,6,11,15:02,1,5:51,10
2013-01-21,8,9,1:58,7.1,23:28,1.9
2013-01-22,6.7,9,12:53,5.3,23:30,3.7
2013-01-23,5.5,8.3,12:14,4.4,21:09,3.9
2013-01-24,3.6,6.9,14:45,1,7:20,5.9
2013-01-25,-0.1,4.8,14:26,-3.1,7:21,7.9
2013-01-26,-1.4,3.7,15:31,-4.6,7:31,8.3
2013-01-27,-1.8,3.2,14:16,-5.4,6:38,8.6
2013-01-28,1.2,7.6,16:16,-4.7,7:14,12.3
2013-01-29,5.5,10.4,13:07,-0.1,6:19,10.5
2013-01-30,7.7,13.1,12:41,2.8,7:07,10.3
2013-01-31,9.2,13.3,15:02,5.3,5:57,8
2013-02-01,11.6,13.4,18:50,9.5,3:42,3.9
2013-02-02,8.9,13.5,14:46,3.4,23:20,10.1
2013-02-03,5.6,9,13:07,0.4,7:32,8.6
2013-02-04,6.8,11.9,15:42,3.6,23:06,8.3
2013-02-05,6.3,8.8,12:07,3.5,0:15,5.3
2013-02-06,5.2,9.3,15:16,1.1,23:57,8.2
2013-02-07,-1.2,3.2,12:37,-7.9,23:56,11.1
2013-02-08,-4.3,2.8,14:42,-10.7,7:09,13.5
2013-02-09,-0.5,5.2,15:08,-4.5,6:28,9.7
2013-02-10,2.2,8.4,14:19,-3.2,7:38,11.6
2013-02-11,2.2,7.3,13:52,-1.9,6:23,9.2
2013-02-12,2.8,6.6,12:08,-0.8,24:00:00,7.4
2013-02-13,2.1,7.7,13:04,-2.6,7:09,10.3
2013-02-14,6,10.2,12:06,1.8,7:02,8.4
2013-02-15,5.9,10.5,12:28,0.9,23:59,9.6
2013-02-16,1.6,8.4,14:29,-3.2,7:12,11.6
2013-02-17,5,8.2,12:49,1,0:56,7.2
2013-02-18,6,7.1,15:52,4.9,21:39,2.2
2013-02-19,3.7,6.4,17:03,0.1,23:50,6.3
2013-02-20,1.3,7.2,16:41,-3.3,6:52,10.5
2013-02-21,3.3,8.6,15:50,-1.5,6:57,10.1
2013-02-22,5.6,10.6,14:34,1.8,2:07,8.8
2013-02-23,3.3,8.3,15:53,-1,7:03,9.3
2013-02-24,4.8,10.5,15:01,-0.8,6:19,11.3
2013-02-25,7.7,12.3,12:04,3.2,7:12,9.1
2013-02-26,8.3,10.8,11:31,6,0:27,4.8
2013-02-27,9.8,17.2,14:56,5.4,7:41,11.8
2013-02-28,11.6,16.4,15:58,7.1,6:05,9.3
2013-03-01,9.7,14.2,4:21,1.1,23:55,13.1
2013-03-02,2.9,8.6,14:29,-2,7:09,10.6
2013-03-03,5.9,12.1,15:06,1.5,4:44,10.6
2013-03-04,7,11.8,16:15,1.6,5:28,10.2
2013-03-05,8.3,13.6,13:32,3.6,6:56,10
2013-03-06,11.1,16.4,16:04,5.3,6:39,11.1
2013-03-07,13.1,15.1,10:07,10.8,0:01,4.3
2013-03-08,13.2,17.4,14:20,8,6:02,9.4
2013-03-09,14.6,17.8,14:43,9.4,7:00,8.4
2013-03-10,11.5,16.1,0:19,8.3,22:21,7.8
2013-03-11,8.5,13.4,14:19,4.6,5:35,8.8
2013-03-12,11.5,15.1,23:56,5.8,4:13,9.3
2013-03-13,10.5,16.7,2:43,5.2,23:49,11.5
2013-03-14,5.8,9.3,13:35,3.5,6:26,5.8
2013-03-15,8.6,13.4,16:08,3.5,1:33,9.9
2013-03-16,11.8,17.6,13:37,8.5,0:17,9.1
2013-03-17,11.7,16.2,11:27,7.6,5:05,8.6
2013-03-18,13.7,16.2,14:29,10.9,9:00,5.3
2013-03-19,13,16.2,12:10,9.7,5:54,6.5
2013-03-20,11.5,16.6,12:00,4.2,23:59,12.4
2013-03-21,5.4,10,16:24,-0.8,6:06,10.8
2013-03-22,9.5,13.8,16:46,5.4,3:01,8.4
2013-03-23,10.5,14.4,12:05,5.6,6:33,8.8
2013-03-24,11.4,17.1,13:18,8,6:22,9.1
2013-03-25,8.7,14.1,15:38,5.6,23:43,8.5
2013-03-26,9.1,13.4,12:03,3.5,6:33,9.9
2013-03-27,11.8,15.6,12:49,7.5,3:59,8.1
2013-03-28,13.7,19.3,12:17,9.6,6:30,9.7
2013-03-29,10.8,15.2,10:52,8.2,23:58,7
2013-03-30,11.2,14.8,11:36,7.3,4:43,7.5
2013-03-31,9.9,13.7,12:20,7.3,23:56,6.4
2013-04-01,11.8,16.8,14:02,6.8,5:23,10
2013-04-02,12.8,17.8,12:46,7.8,23:50,10
2013-04-03,12.3,17.7,16:49,6.2,4:48,11.5
2013-04-04,14,19.2,11:22,10.2,23:58,9
2013-04-05,13.2,17.5,11:47,8.7,6:01,8.8
2013-04-06,11.4,14.3,2:23,4.2,24:00:00,10.1
2013-04-07,7.9,14,16:30,3.6,0:38,10.4
2013-04-08,10.4,17.3,13:09,4,4:12,13.3
2013-04-09,11.2,16.8,15:12,7.2,23:56,9.6
2013-04-10,7.5,12.1,14:06,3.5,6:25,8.6
2013-04-11,9.8,14.8,15:34,5.4,4:51,9.4
2013-04-12,9.8,15,15:19,5.6,6:18,9.4
2013-04-13,12.3,16.3,13:38,6.1,4:01,10.2
2013-04-14,15.4,18.7,12:05,11.2,23:57,7.5
2013-04-15,11.6,15.8,12:26,6.1,5:48,9.7
2013-04-16,17,19.8,13:28,13.1,0:01,6.7
2013-04-17,11.9,18.1,0:01,9.9,23:48,8.2
2013-04-18,13.3,18,12:21,9.9,0:01,8.1
2013-04-19,10.1,12.8,14:54,8,5:59,4.8
2013-04-20,7.6,9.2,8:59,6.5,23:17,2.7
2013-04-21,10.6,15.8,13:57,5.5,3:31,10.3
2013-04-22,13,18.5,12:06,7.9,5:14,10.6
2013-04-23,12.6,13.8,23:50,11.3,4:24,2.5
2013-04-24,17.6,23.4,16:06,13.3,7:19,10.1
2013-04-25,15.6,20.2,11:23,12,5:54,8.2
2013-04-26,14.6,19.7,14:45,10.2,4:46,9.5
2013-04-27,14.3,19,12:41,10.8,4:59,8.2
2013-04-28,16,19.9,15:17,10.9,6:06,9
2013-04-29,16.5,18.6,12:47,13.2,1:51,5.4
2013-04-30,15.1,20.6,13:41,11.2,5:53,9.4
2013-05-01,12.1,15.8,13:08,10.5,5:58,5.3
2013-05-02,13.1,16.6,11:01,10.2,2:22,6.4
2013-05-03,13.9,17.4,11:35,10,4:56,7.4
2013-05-04,15.4,21.3,13:20,12.3,4:46,9
2013-05-05,18,24.3,12:44,13.4,0:58,10.9
2013-05-06,19.4,27.1,12:31,15.4,1:21,11.7
2013-05-07,14.8,18.5,11:42,11.9,23:42,6.6
2013-05-08,16.1,20.4,11:38,10.8,4:28,9.6
2013-05-09,18.8,23.8,12:03,13.8,5:41,10
2013-05-10,17.7,23.1,13:56,14.8,6:32,8.3
2013-05-11,19.3,24.9,12:29,15.4,23:56,9.5
2013-05-12,19.1,23.6,16:44,14.6,2:37,9
2013-05-13,18.7,22.1,10:50,15.3,6:54,6.8
2013-05-14,19.9,24.6,13:04,14,5:15,10.6
2013-05-15,19.4,23.6,14:49,15.4,23:52,8.2
2013-05-16,14.8,16.6,10:22,14,4:53,2.6
2013-05-17,16.2,21,14:00,13.6,23:55,7.4
2013-05-18,17.6,20.8,10:03,12.1,5:05,8.7
2013-05-19,17.1,20.2,12:37,16.2,23:00,4
2013-05-20,18.8,22.1,15:08,15.9,2:07,6.2
2013-05-21,18.6,21.8,14:42,14.5,5:56,7.3
2013-05-22,20.9,26.4,14:53,16.2,5:24,10.2
2013-05-23,21.2,24.8,11:02,17.3,5:35,7.5
2013-05-24,21.4,28.1,10:36,17.4,3:51,10.7
2013-05-25,19.1,24,10:30,15.9,23:40,8.1
2013-05-26,20.5,24.9,13:59,15.5,5:19,9.4
2013-05-27,20.1,22.5,11:45,18.2,23:54,4.3
2013-05-28,18.8,20.8,16:09,17.8,21:15,3
2013-05-29,20.1,23.9,15:38,17.4,2:16,6.5
2013-05-30,20.7,25.1,12:27,17.9,6:52,7.2
2013-05-31,21.2,24.4,10:29,18.8,5:55,5.6
2013-06-01,19.4,22,12:20,18.2,5:17,3.8
2013-06-02,20.3,24.4,12:57,17.1,5:35,7.3
2013-06-03,19.9,24.9,14:49,15.5,4:50,9.4
2013-06-04,22.2,27.2,14:12,17.7,5:29,9.5
2013-06-05,21.9,26.2,11:19,18.8,2:56,7.4
2013-06-06,20.7,25.7,11:42,17.2,5:15,8.5
2013-06-07,20.5,24,12:47,18.5,22:31,5.5
2013-06-08,21,24.7,12:02,17.5,4:17,7.2
2013-06-09,21.2,23.7,15:10,19.4,2:20,4.3
2013-06-10,22.3,26.2,13:20,18.9,4:38,7.3
2013-06-11,21.5,23.4,14:30,20.3,20:22,3.1
2013-06-12,21.8,25.2,12:24,19.9,5:35,5.3
2013-06-13,21.6,24.6,11:49,19.7,4:05,4.9
2013-06-14,21.5,23.9,13:18,20.6,21:44,3.3
2013-06-15,23.4,26.4,13:50,20.6,4:01,5.8
2013-06-16,22.3,25.3,9:58,20.5,3:09,4.8
2013-06-17,24.4,27.8,12:39,21.1,1:52,6.7
2013-06-18,22.8,23.7,12:28,22.2,0:50,1.5
2013-06-19,21.4,23,3:23,20.2,7:17,2.8
2013-06-20,22.1,25.9,14:35,20.5,1:44,5.4
2013-06-21,21.5,23.9,12:06,20.3,21:43,3.6
2013-06-22,21.9,25.7,13:43,19.9,2:14,5.8
2013-06-23,21.3,24.1,12:00,20,20:20,4.1
2013-06-24,23.1,26.6,13:53,19.9,5:11,6.7
2013-06-25,22,25,12:04,20.8,21:30,4.2
2013-06-26,22.7,27.3,14:39,19.6,6:46,7.7
2013-06-27,22.8,26.3,14:18,21,4:30,5.3
2013-06-28,23.5,27.3,13:33,20.9,0:28,6.4
2013-06-29,23.7,27,13:24,20.3,5:03,6.7
2013-06-30,23.7,27.1,13:51,21.5,5:06,5.6
2013-07-01,24.6,27.5,9:46,22.1,4:28,5.4
2013-07-02,24.2,25.7,14:30,22.7,2:55,3
2013-07-03,23.6,26.2,15:48,22.2,8:29,4
2013-07-04,23.5,25.3,16:01,21.8,23:04,3.5
2013-07-05,23.5,24.2,5:05,22.5,0:29,1.7
2013-07-06,23.8,26.6,14:54,22.2,1:38,4.4
2013-07-07,23.8,25.3,23:36,22.3,8:02,3
2013-07-08,25.9,27.7,13:14,24.8,3:27,2.9
2013-07-09,26.1,29,16:01,24.4,5:47,4.6
2013-07-10,25.9,28.9,15:01,23.3,5:44,5.6
2013-07-11,26,29.2,10:49,23.6,2:54,5.6
2013-07-12,26.9,30.5,12:53,23.8,5:14,6.7
2013-07-13,27.2,30.4,13:59,24.8,7:40,5.6
2013-07-14,27.5,30.5,14:19,26.1,4:12,4.4
2013-07-15,27,29.8,12:57,25.6,2:20,4.2
2013-07-16,27,29.7,12:49,24.4,3:47,5.3
2013-07-17,27.3,29.4,13:41,25.9,23:55,3.5
